name,free_returns,items_sold,status=,shipping,price_sold
Nike Tottenham Hotspur 20/21 Stadium Home Soccer Jersey CD4416-101 Women’s M NWT,False,,Brand New,699,5499
Nike Tottenham Hotspur 2020/21 Stadium Soccer Jersey CD4416-101 Womens Sz XL New,False,,Brand New,0,4995
Tottenham Hotspur FC Crest Socks 8-11,True,,Brand New,0,1188
Nike Vaporknit Tottenham Hotspur 2020-2021 Home Soccer Jersey Sz XXL CD4196-101,False,,Brand New,600,9399
Tottenham Hotspur Official Merch Dark Blue Vented Adjustable Hat,False,,Pre-Owned,0,2475
FC TOTTENHAM HOTSPUR 201415 HOME FOOTBALL JERSEY CAMISETA SOCCER MAGLIA SHIRT ,False,,Pre-Owned,0,4300
Tottenham Hotspur New Era Embroidered 9Forty Navy Baseball Hat Official Licensed,True,,Brand New,395,3195
NIKE TOTTENHAM HOTSPUR SOCCER TRACK JACKET BLUE CK8487-429 MENS SIZE L,False,,Brand New,0,5999
Men’s Nike Soccer Jersey Size Medium Tottenham Hotspur Match Stadium Away 20/21,False,,Brand New,1155,9000
Nike Tottenham Hotspur Stadium Third Jersey 19/20 AT0036-487 SZ SM,False,,Brand New,499,5999
Tottenham Hotspur Under Armour White Youth size XS,False,,Pre-Owned,460,2000
Nike Tottenham Hotspur 19/2020 Pre Match Training Men Jersey Soccer AO7536 ,False,,Brand New,500,4410
Tottenham Hotspur FC Official Soccer Kids Navy Graphic Hoodie - 6/7,False,,Brand New,0,3499
Tottenham 2015/16 Kit Christian Eriksen Under Armour Soccer #23 Jersey - Size M,False,,Pre-Owned,550,4499
Tottenham Hotspur Football Soccer Scarf Navy and White,True,,Pre-Owned,675,1799
Under Armour Mens AIA Soccer Jersey Size XL Fitted Tottenham Hotspur FC HeatGear,True,,Pre-Owned,599,3199
TOTTENHAM HOTSPUR 2006 2007 HOME FOOTBALL SHIRT SOCCER JERSEY LENNON,False,,Pre-Owned,1999,11999
NEW Nike Tottenham Hotspur 2020/21 Stadium Soccer Jersey WOMEN’S size Large L,False,,Brand New,0,3999
Nike Vaporknit Tottenham Hotspur 2020-2021 Home Soccer Jersey XL CD4196-101,False,,Brand New,0,9998
